ejecucion,generacion,mejor,promedio,peor
2,137,-0.001702,-0.024090,-0.100863
2,138,-0.001702,-0.028292,-0.141548
2,139,-0.001665,-0.024385,-0.145970
2,140,-0.001580,-0.025308,-0.120427
2,141,-0.001580,-0.027837,-0.107835
2,142,-0.001580,-0.026605,-0.159854
2,143,-0.001580,-0.025056,-0.131885
2,144,-0.001580,-0.035762,-0.161391
2,145,-0.001580,-0.040189,-0.179800
2,146,-0.001580,-0.033417,-0.124612
2,147,-0.001580,-0.034584,-0.144025
2,148,-0.001580,-0.031133,-0.154844
2,149,-0.001580,-0.039576,-0.235080
2,150,-0.001580,-0.030168,-0.148235
2,151,-0.001580,-0.030407,-0.158332
2,152,-0.001559,-0.030642,-0.208267
2,153,-0.001559,-0.030408,-0.121951
2,154,-0.001559,-0.021067,-0.076813
2,155,-0.001559,-0.029310,-0.132661
2,156,-0.001559,-0.032871,-0.213431
2,157,-0.001559,-0.035339,-0.250631
2,158,-0.001559,-0.038324,-0.212908
2,159,-0.001559,-0.027977,-0.141280
2,160,-0.001559,-0.031667,-0.142586
2,161,-0.001552,-0.031614,-0.171644
2,162,-0.001552,-0.024049,-0.163184
2,163,-0.001552,-0.016507,-0.083932
2,164,-0.001552,-0.020800,-0.150389
2,165,-0.001552,-0.027892,-0.163996
2,166,-0.001552,-0.025964,-0.112503
2,167,-0.001552,-0.022992,-0.148821
2,168,-0.001552,-0.023565,-0.112389
2,169,-0.001552,-0.020062,-0.093156
2,170,-0.001538,-0.029314,-0.140313
2,171,-0.001538,-0.028895,-0.199935
2,172,-0.001538,-0.025808,-0.106858
2,173,-0.001524,-0.023215,-0.121104
2,174,-0.001524,-0.019028,-0.101393
2,175,-0.001524,-0.023118,-0.121721
2,176,-0.001524,-0.027038,-0.217212
2,177,-0.001524,-0.018783,-0.099763
2,178,-0.001524,-0.036827,-0.261276
2,179,-0.001524,-0.032420,-0.170496
2,180,-0.001524,-0.022587,-0.112916
2,181,-0.001524,-0.015869,-0.057836
2,182,-0.001524,-0.018718,-0.120701
2,183,-0.001524,-0.021561,-0.163305
2,184,-0.001488,-0.015026,-0.109599
2,185,-0.001488,-0.022942,-0.106620
2,186,-0.001488,-0.027743,-0.185720
2,187,-0.001488,-0.029185,-0.172253
2,188,-0.001488,-0.029131,-0.154089
2,189,-0.001488,-0.033046,-0.221453
2,190,-0.001482,-0.021028,-0.105846
2,191,-0.001461,-0.028740,-0.153228
2,192,-0.001461,-0.030476,-0.141113
2,193,-0.001461,-0.033911,-0.154982
2,194,-0.001461,-0.038777,-0.200601
2,195,-0.001461,-0.043218,-0.344074
2,196,-0.001461,-0.029490,-0.126273
2,197,-0.001461,-0.044167,-0.253975
2,198,-0.001461,-0.031746,-0.218991
2,199,-0.001461,-0.030604,-0.285265
2,200,-0.001461,-0.026540,-0.130143
3,1,-0.004278,-4.871722,-11.787041
3,2,-0.004278,-5.425031,-32.174955
